stateBits0,stateBits1,toolFlags,frequency
08128812,0000000D,0810,1028
08128812,0000000D,0210,909
08124965,00000002,00A0,640
08128965,0000001C,0820,245
08128965,0000000C,00A0,170
08128965,0000000C,0820,123
08128965,0000000C,0220,94
08128922,0000000C,0060,89
0812B012,0000000D,0240,88
08128931,0000001C,0870,79
08128965,0000000C,0020,77
08128812,0000000D,0090,52
08127012,0000000D,0240,51
0812B012,0000000D,0840,51
0812B012,0000001D,0840,43
08128965,0000002C,0820,41
08128922,0000001C,0860,38
08124922,00000002,00E0,31
08128812,0000000D,0010,31
08128965,0000001C,08A0,28
18128965,0000000C,0020,27
08128812,00000003,0810,20
08124812,0000000D,0210,19
08124965,0000000C,0220,19
0812B012,0000001D,08C0,17
08128812,0000001D,0810,14
0812892A,0000000C,0060,13
08128812,0000001D,0210,12
08128922,0000000C,0860,12
08128812,0000000D,0290,11
08124965,0000000C,0020,10
08124965,0000000C,00A0,10
08128965,0000000C,08A0,10
18128965,0000000C,0820,10
08128931,0000001C,08F0,9
0812B012,0000000D,00C0,9
0812492A,0000000C,0860,8
08124965,00000002,0020,8
08127012,0000000D,02C0,8
08127012,0000000D,00C0,7
08127012,0000000D,08C0,7
08128812,00000002,0810,7
08128812,0000000D,0890,7
08128965,0000001C,0220,7
08124812,00000003,0090,6
08124965,0000000C,0820,6
08127012,00000003,00C0,6
0812492A,0000000C,0060,5
0812B012,0000000D,0040,5
08124965,00000002,08A0,4
08128922,00000000,0060,4
08128922,0000000C,08E0,4
08128922,0000001C,0260,4
08128965,0000000C,02A0,4
0812B165,0000001C,0820,4
18128922,0000000C,0060,4
18128965,0000000C,00A0,4
08124812,0000000D,0810,3
08124965,0000002C,0820,3
08127012,0000000D,0840,3
08127012,0000001D,0240,3
08128922,00000002,0060,3
08128922,00000002,0860,3
08128965,00000002,0820,3
08128965,0000000C,2820,3
0812B165,0000000C,0220,3
08228939,0000000C,1820,3
09228962,0000000C,08A0,3
08124922,0000000C,0860,2
0812492A,0000000C,00E0,2
08124965,00000002,0820,2
08124965,0000001C,0820,2
08127012,0000001D,0248,2
08127012,0000001D,0840,2
0812892A,0000000C,0860,2
08128931,0000000C,0870,2
08128931,0000001C,0270,2
08128965,00000002,00A0,2
08128965,0000000D,0820,2
08128965,0000002C,0020,2
0812B012,0000001D,0240,2
00124812,F80FC0C4,0810,1
08124812,00000002,0810,1
08124922,0000000C,08E0,1
08124931,0000000C,0070,1
08124965,00000000,00A0,1
08124965,0000000C,08A0,1
08128812,00000001,0810,1
08128812,0000000D,2810,1
08128812,0000001D,0890,1
08128922,00000000,0860,1
08128922,00000004,0860,1
08128922,00000008,0860,1
08128922,0000000C,02E0,1
08128922,0000000D,0860,1
08128922,0000002C,0060,1
0812892A,00000008,00E0,1
0812892A,0000000C,00E0,1
0812892A,0000000C,02E0,1
08128965,00000000,0020,1
08128965,00000002,0020,1
08128965,0000000C,0822,1
08128965,0000000C,0824,1
08128965,0000000C,0C20,1
08128965,0000000C,1820,1
08128965,0000000D,0220,1
08128965,0000000D,08A0,1
08128965,0000000D,1820,1
08128965,0000002C,0220,1
0812B012,0000000D,02C0,1
0812B165,0000000C,0020,1
0812B165,0000000C,0820,1
0812C965,0000000C,0220,1
08228925,00000002,00A0,1
09224917,0000000C,0020,1
09224925,00000002,00A0,1
09224962,00000002,0020,1
09228962,0000000C,00A0,1
09254925,00000002,00A0,1
09258925,00000002,0820,1
0D254925,0000000C,0820,1
0D258925,0000000C,00A0,1
10128812,000E4943,0810,1
18128812,0006004C,0810,1
18128962,00000002,0820,1
18128965,00000002,0020,1
