techset,techniques
2d,;;;;vertcol_simple2d;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ambient_r0c0,;build_floatz;build_shadowmap_depth;build_shadowmap_color_sm3;vcsh;;;;;;;;;;;;;;;;;l_spot_r0c0;l_omni_r0c0;l_spot_r0c0;fakelight_normal;fakelight_view;sunpre_r0c0;case_texture;wireframe_solid;wireframe_shaded;shadowcookie_caster;shadowcookie_receiver;debug_bumpmap;
ambient_t0c0,;build_floatz_test;build_shadowmap_depth_test;build_shadowmap_color_test_sm3;vcsh;;;;;;;;;;;;;;;;;l_spot_t0c0;l_omni_t0c0;l_spot_t0c0;fakelight_normal;fakelight_view;sunpre_t0c0;case_texture;wireframe_solid;wireframe_shaded;;;debug_bumpmap;
cinematic,cinematic;;;;cinematic;;;;;;;;;;;;;;;;;;;;cinematic;cinematic;;;;;;;;
clear_alpha_stencil,;;;;clear_alpha_stencil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
color_channel_mixer,;;;;color_channel_mixer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
default,textured_simple;;;;textured_simple;;;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;;;;textured_simple;textured_simple;;;wireframe_solid;wireframe_shaded;;;;
depthprepass,zprepass;build_floatz;build_shadowmap_depth;build_shadowmap_color_sm3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
distortion_scale,;;;;vertcol_simple_dtex;distortion_scale_dtex;distortion_scale_dtex;;;;;;;;;;;;;;;;;;vertcol_simple_dtex;vertcol_simple_dtex;;;wireframe_solid_dtex;;;;;
distortion_scale_zfeather,;;;;vertcol_simple_dtex;distortion_scale_zfeather_dtex;distortion_scale_zfeather_dtex;;;;;;;;;;;;;;;;;;vertcol_simple_dtex;vertcol_simple_dtex;;;wireframe_solid_dtex;;;;;
distortion_shade,;;;;vertcol_simple_dtex;distortion_shade_dtex;distortion_shade_dtex;;;;;;;;;;;;;;;;;;vertcol_simple_dtex;vertcol_simple_dtex;;;wireframe_solid_dtex;;;;;
distortion_shade_zfeather,;;;;vertcol_simple_dtex;distortion_shade_zfeather_dtex;distortion_shade_zfeather_dtex;;;;;;;;;;;;;;;;;;vertcol_simple_dtex;vertcol_simple_dtex;;;wireframe_solid_dtex;;;;;
dof_downsample,;;;;dof_downsample;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dof_near_coc,;;;;dof_near_coc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
effect,;;;;vertcol_simple_fog_dtex;vertcol_simple_fog_dtex;vertcol_simple_fog_dtex;;;;;;;;;;;;;;;;;;vertcol_simple_fog_dtex;vertcol_simple_fog_dtex;;;wireframe_solid_dtex;;;;;
effect_add,;;;;effect_add_fog_dtex;effect_add_fog_dtex;effect_add_fog_dtex;;;;;;;;;;;;;;;;;;effect_add_fog_dtex;effect_add_fog_dtex;;;wireframe_solid_dtex;;;;;
